Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,Distance (km),Alphabetical trip,
2022-04-01 19:20,2022-04-01 21:31,2:11,Bordeaux St-Jean,Toulouse Matabiau,TGV InOui,8517,256.5,Bordeaux St-Jean - Toulouse Matabiau,
2022-04-18 07:30,2022-04-18 07:43,0:13,St-Louis,Mulhouse,TER,96210,27,Mulhouse - St-Louis,
2022-04-18 07:57,2022-04-18 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,711.6,Montpellier St-Roch - Mulhouse,
2022-04-18 13:07,2022-04-18 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,247,Montpellier St-Roch - Toulouse Matabiau,
2022-04-25 10:08,2022-04-25 11:16,1:08,Toulouse Matabiau,Carcassonne,TER,870611,90.7,Carcassonne - Toulouse Matabiau,
2022-04-25 17:28,2022-04-25 18:30,1:02,Carcassonne,Toulouse Matabiau,TER,876213,90.7,Carcassonne - Toulouse Matabiau,
2022-04-29 08:46,2022-04-29 09:14,0:28,Toulouse,Castelnaudary,Intercités,4655,54.8,Castelnaudary - Toulouse,
2022-04-29 13:31,2022-04-29 14:10,0:39,Castelnaudary,Montaudran,TER,870610,49.8,Castelnaudary - Montaudran,
2022-04-30 08:46,2022-04-30 10:52,2:06,Toulouse Matabiau,Montpellier St-Roch,Intercités,4655,247,Montpellier St-Roch - Toulouse Matabiau,
2022-04-30 19:07,2022-04-30 21:17,2:10,Montpellier St-Roch,Toulouse Matabiau,Intercités,4766,247,Montpellier St-Roch - Toulouse Matabiau,
2022-07-13 08:28,2022-07-13 12:49,4:21,Toulouse Matabiau,Paris Montparnasse,TGV InOui,8504,793.9,Paris Montparnasse - Toulouse Matabiau,
2022-07-13 13:05,2022-07-13 13:20,0:15,Paris Montparnasse,Sèvres Rive Gauche,Transilien ,N,9.2,Paris Montparnasse - Sèvres Rive Gauche,
13/07/2022,13/07/2022,0:15,Sèvres Rive Gauche,Paris Montparnasse,Transilien ,N,9.2,Paris Montparnasse - Sèvres Rive Gauche,
14/07/2022,14/07/2022,0:15,Sèvres Rive Gauche,Paris Montparnasse,Transilien ,N,9.2,Paris Montparnasse - Sèvres Rive Gauche,
15/07/2022,15/07/2022,0:15,Sèvres Rive Gauche,Paris Montparnasse,Transilien ,N,9.2,Paris Montparnasse - Sèvres Rive Gauche,
16/07/2022,16/07/2022,0:15,Sèvres Rive Gauche,Paris Montparnasse,Transilien ,N,9.2,Paris Montparnasse - Sèvres Rive Gauche,
17/07/2022,17/07/2022,0:15,Sèvres Rive Gauche,Paris Montparnasse,Transilien ,N,9.2,Paris Montparnasse - Sèvres Rive Gauche,
18/07/2022,18/07/2022,0:15,Sèvres Rive Gauche,Paris Montparnasse,Transilien ,N,9.2,Paris Montparnasse - Sèvres Rive Gauche,
18/07/2022,18/07/2022,0:15,Paris Montparnasse,Sèvres Rive Gauche,Transilien ,N,9.2,Paris Montparnasse - Sèvres Rive Gauche,
2022-07-19 06:26,2022-07-19 06:41,0:15,Sèvres Rive Gauche,Paris Montparnasse,Transilien ,N,9.2,Paris Montparnasse - Sèvres Rive Gauche,
2022-07-19 07:11,2022-07-19 11:29,4:18,Paris Montparnasse,Toulouse Matabiau,TGV InOui,8503,793.9,Paris Montparnasse - Toulouse Matabiau,
2022-07-23 07:44,2022-07-23 08:25,0:41,Toulouse Matabiau,Carcassonne,TGV InOui,6871,90.7,Carcassonne - Toulouse Matabiau,
2022-07-23 13:09,2022-07-23 14:10,1:01,Carcassonne,Toulouse Matabiau,TGV InOui,6823,90.7,Carcassonne - Toulouse Matabiau,
2022-07-31 07:44,2022-07-31 11:50,4:06,Toulouse Matabiau,Lyon Part-Dieu,TGV InOui,6871,561.1,Lyon Part-Dieu - Toulouse Matabiau,
2022-08-02 07:21,2022-08-02 08:59,1:38,Basel Badischer Bahnhof,Karlsruhe Hbf,ICE,202,191.3,Basel Badischer Bahnhof - Karlsruhe Hbf,
2022-08-02 09:10,2022-08-02 09:44,0:34,Karlsruhe Hbf,Heidelberg Hbf,IC,2374,53.8,Heidelberg Hbf - Karlsruhe Hbf,
2022-08-02 10:46,2022-08-02 11:40,0:54,Heidelberg Hbf,Frankfurt (Main) Hbf,IC,1296,95.9,Frankfurt (Main) Hbf - Heidelberg Hbf,
2022-08-02 17:34,2022-08-02 17:53,0:19,Frankfurt (Main) Hbf,Darmstadt Hbf,RB,67,27.6,Darmstadt Hbf - Frankfurt (Main) Hbf,
2022-08-03 06:53,2022-08-03 07:43,0:50,Darmstadt Hbf,Mannheim Hbf,RE,60,59.4,Darmstadt Hbf - Mannheim Hbf,
2022-08-03 09:31,2022-08-03 09:56,0:25,Mannheim Hbf,Speyer Hbf,S3,,22.7,Mannheim Hbf - Speyer Hbf,
2022-08-03 15:25,2022-08-03 15:54,0:29,Speyer Hbf,Mannheim Hbf,S3,,22.7,Mannheim Hbf - Speyer Hbf,
2022-08-03 16:15,2022-08-03 17:05,0:50,Mannheim Hbf,Darmstadt Hbf,RE,4672,59.4,Darmstadt Hbf - Mannheim Hbf,
2022-08-05 08:12,2022-08-05 08:44,0:32,Darmstadt Hbf,Mainz Römisches Theater,HLB,28756,32.6,Darmstadt Hbf - Mainz Römisches Theater,
2022-08-05 10:40,2022-08-05 10:43,0:03,Mainz-Kastel,Wiesbaden Ost,S1,,4.2,Mainz-Kastel - Wiesbaden Ost,
2022-08-05 14:02,2022-08-05 14:46,0:44,Wiesbaden Hbf,Darmstadt Hbf,RB,75,41.3,Darmstadt Hbf - Wiesbaden Hbf,
2022-08-05 15:53,2022-08-05 16:45,0:52,Darmstadt Hbf,Mannheim Hbf,RE,4671,59.4,Darmstadt Hbf - Mannheim Hbf,
2022-08-05 16:46,2022-08-05 18:55,2:09,Mannheim Hbf,Basel SBB,ICE,77,253.7,Basel SBB - Mannheim Hbf,
2022-08-09 07:16,2022-08-09 07:39,0:23,St-Louis,Mulhouse,TER,96104,27,Mulhouse - St-Louis,
2022-08-09 07:57,2022-08-09 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,711.6,Montpellier St-Roch - Mulhouse,
2022-08-09 13:07,2022-08-09 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,247,Montpellier St-Roch - Toulouse Matabiau,
2022-08-17 10:46,2022-08-17 12:51,2:05,Toulouse Matabiau,Montpellier St-Roch,Intercités,4760,247,Montpellier St-Roch - Toulouse Matabiau,
2022-08-17 13:58,2022-08-17 19:08,5:10,Montpellier St-Roch,Mulhouse,TGV InOui,5500,711.6,Montpellier St-Roch - Mulhouse,
2022-08-17 19:16,2022-08-17 19:29,0:13,Mulhouse,St-Louis,TER,96281,27,Mulhouse - St-Louis,
2022-08-22 16:00,2022-08-22 16:08,0:08,St-Louis,Basel SBB,TER,96223,6.8,Basel SBB - St-Louis,
2022-08-22 19:08,2022-08-22 19:16,0:08,Basel SBB,St-Louis,TER,96136,6.8,Basel SBB - St-Louis,
2022-08-23 07:16,2022-08-23 07:39,0:23,St-Louis,Mulhouse,TER,96104,27,Mulhouse - St-Louis,
2022-08-23 07:57,2022-08-23 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,711.6,Montpellier St-Roch - Mulhouse,
2022-08-23 13:07,2022-08-23 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,247,Montpellier St-Roch - Toulouse Matabiau,
