Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,Distance (km),Alphabetical trip,
449,449,602:50:00,25 days,2 hours,50 minutes,,67638.2,AUTOMATIC,Commentaire
2013-08-03,2013-08-03,,St-Louis,Strasbourg,,,134.8,St-Louis - Strasbourg,
2013-08-03,2013-08-03,,Strasbourg,Paris Gare de l’Est,,,438.7,Paris Gare de l’Est - Strasbourg,
2013-08-03,2013-08-03,,Paris Austerlitz,Brive-la-Gaillarde,,,498.8,Brive-la-Gaillarde - Paris Austerlitz,
2013-08-17,2013-08-17,,Brive-la-Gaillarde,Paris Austerlitz,,,498.8,Brive-la-Gaillarde - Paris Austerlitz,
2013-08-17,2013-08-17,,Paris Gare de l’Est,Strasbourg,,,438.7,Paris Gare de l’Est - Strasbourg,
2013-08-17,2013-08-17,,Strasbourg,St-Louis,,,134.8,St-Louis - Strasbourg,
2014-03-08 07:40,2014-03-08 08:50,1:10,Basel SBB,Zürich Oerlikon,,,95.9,Basel SBB - Zürich Oerlikon,
2014-03-08 08:58,2014-03-08 09:05,0:07,Zürich Oerlikon,Kloten,,,5.3,Kloten - Zürich Oerlikon,
2014-03-08,2014-03-08,,Kloten,Zürich Oerlikon,,,5.3,Kloten - Zürich Oerlikon,
2014-03-08,2014-03-08,,Zürich Oerlikon,Basel SBB,,,95.9,Basel SBB - Zürich Oerlikon,
2015-03-12,2015-03-12,,Basel SBB,Bern,,,100.3,Basel SBB - Bern,
2015-03-12,2015-03-12,,Bern,Lausanne,,,96.7,Bern - Lausanne,
2015-03-12,2015-03-12,,Lausanne,Bern,,,96.7,Bern - Lausanne,
2015-03-12,2015-03-12,,Bern,Basel SBB,,,100.3,Basel SBB - Bern,
2015-03-13 16:34,2015-03-13 19:38,3:04,Basel SBB,Paris Gare de Lyon,TGV Lyria,9226,524.4,Basel SBB - Paris Gare de Lyon,
2015-03-15 18:23,2015-03-15 21:25,3:02,Paris Gare de Lyon,Basel SBB,TGV Lyria,9223,524.4,Basel SBB - Paris Gare de Lyon,
2015-07-12 06:40,2015-07-12 07:56,1:16,Basel SBB,Zürich Flughafen,IR,2059,100.1,Basel SBB - Zürich Flughafen,
2015-08-21 12:34,2015-08-21 15:37,3:03,Basel SBB,Paris Gare de Lyon,TGV Lyria,9218,524.4,Basel SBB - Paris Gare de Lyon,
2015-08-24 07:23,2015-08-24 10:26,3:03,Paris Gare de Lyon,Basel SBB,TGV Lyria,9203,524.4,Basel SBB - Paris Gare de Lyon,
2015-11-27 14:34,2015-11-27 17:37,3:03,Basel SBB,Paris Gare de Lyon,TGV Lyria,9222,524.4,Basel SBB - Paris Gare de Lyon,
2015-11-29 16:23,2015-11-29 19:26,3:03,Paris Gare de Lyon,Basel SBB,TGV Lyria,9219,524.4,Basel SBB - Paris Gare de Lyon,
2016-02-07 07:09,2016-02-07 07:27,0:18,Basel SBB,Sierentz,TER,96104,17.1,Basel SBB - Sierentz,
2016-07-01 14:34,2016-07-01 17:37,3:03,Basel SBB,Paris Gare de Lyon,TGV Lyria,9222,524.4,Basel SBB - Paris Gare de Lyon,
2016-07-03 16:23,2016-07-03 19:26,3:03,Paris Gare de Lyon,Basel SBB,TGV Lyria,9219,524.4,Basel SBB - Paris Gare de Lyon,
2016-07-30 10:59,2016-07-30 11:26,0:27,Wien Hbf,Baden bei Wien Bahnhof,REX,1,25.9,Baden bei Wien Bahnhof - Wien Hbf,
2016-07-30 17:33,2016-07-30 17:59,0:26,Baden bei Wien Bahnhof,Wien Hbf,REX,1,25.9,Baden bei Wien Bahnhof - Wien Hbf,
2016-12-01 06:31,2016-12-01 07:24,0:53,Basel SBB,Bern,EC,51,100.3,Basel SBB - Bern,
2016-12-01 07:34,2016-12-01 08:40,1:06,Bern,Lausanne,IC,706,96.7,Bern - Lausanne,
